datetime,serial msg
01-20-2024 14:43:39,Sending: AT+ADDRESS=1
01-20-2024 14:43:39,Received: +OK
01-20-2024 14:43:40,Sending: AT+BAND=905000000
01-20-2024 14:43:40,Received: +m\xa9H\xf8
01-20-2024 14:43:40,Sending: AT+NETWORKID=5
01-20-2024 14:43:40,Received: +OK
01-20-2024 14:43:52,PING
01-20-2024 14:43:52,PING
01-20-2024 14:43:52,"AT+SEND=7,4,PING"
01-20-2024 14:43:52,"Sending: AT+SEND=7,4,PING"
01-20-2024 14:43:52,Received: +OK
01-20-2024 15:19:28,PING
01-20-2024 15:19:28,PING
01-20-2024 15:19:28,"AT+SEND=5,4,PING"
01-20-2024 15:19:28,"Sending: AT+SEND=5,4,PING"
01-20-2024 15:19:28,Received: +OK
01-20-2024 15:19:41,PING
01-20-2024 15:19:41,PING
01-20-2024 15:19:41,"AT+SEND=5,4,PING"
01-20-2024 15:19:41,"Sending: AT+SEND=5,4,PING"
01-20-2024 15:19:42,Received: +OK
01-20-2024 15:19:56,STATUS
01-20-2024 15:19:56,STATUS
01-20-2024 15:19:56,"AT+SEND=5,6,STATUS"
01-20-2024 15:19:56,"Sending: AT+SEND=5,6,STATUS"
01-20-2024 15:19:56,Received: +OK
