datetime,serial msg
2024-03-16 15:49:36.013584,Sending: AT+ADDRESS=1
2024-03-16 15:49:36.603908,Received: +OK
2024-03-16 15:49:37.352852,Sending: AT+BAND=433000000
2024-03-16 15:49:37.541940,Received: +j\xabH\xf8
2024-03-16 15:49:38.411882,Sending: AT+NETWORKID=5
2024-03-16 15:49:38.808879,Received: +OK
2024-03-16 15:49:45.551944,PING
2024-03-16 15:49:45.567958,PING
2024-03-16 15:49:45.710949,"AT+SEND=7,4,PING"
2024-03-16 15:49:45.838006,"Sending: AT+SEND=7,4,PING"
2024-03-16 15:49:46.076314,Received: +OK
2024-03-16 15:51:14.760331,PING
2024-03-16 15:51:14.824558,PING
2024-03-16 15:51:14.843101,"AT+SEND=7,4,PING"
2024-03-16 15:51:16.023361,"Sending: AT+SEND=7,4,PING"
2024-03-16 15:51:16.716114,Received: +OK
2024-03-16 15:52:36.918476,PING
2024-03-16 15:52:37.060361,PING
2024-03-16 15:52:37.546982,"AT+SEND=7,4,PING"
2024-03-16 15:52:38.759347,"Sending: AT+SEND=7,4,PING"
2024-03-16 15:52:39.263979,Received: +OK
2024-03-16 15:52:59.466134,PING
2024-03-16 15:52:59.590980,PING
2024-03-16 15:53:00.281961,"AT+SEND=7,4,PING"
2024-03-16 15:53:01.151991,"Sending: AT+SEND=7,4,PING"
2024-03-16 15:53:01.782879,Received: +OK
2024-03-16 15:54:45.741272,PING
2024-03-16 15:54:45.881907,PING
2024-03-16 15:54:46.390894,"AT+SEND=7,4,PING"
2024-03-16 15:54:47.627811,"Sending: AT+SEND=7,4,PING"
2024-03-16 15:54:47.920236,Received: +OK
